1: 1107.269653, 1107.269653 avg, 0.000000 rate, 6.179327 seconds, 64 images
2: 1106.427368, 1107.185425 avg, 0.000000 rate, 6.526747 seconds, 128 images
3: 1104.201782, 1106.887085 avg, 0.000000 rate, 7.166923 seconds, 192 images
4: 1105.801636, 1106.778564 avg, 0.000000 rate, 7.046579 seconds, 256 images
5: 1107.448730, 1106.845581 avg, 0.000000 rate, 7.113331 seconds, 320 images
6: 1106.789917, 1106.839966 avg, 0.000000 rate, 7.161091 seconds, 384 images
7: 1107.785767, 1106.934570 avg, 0.000000 rate, 7.196657 seconds, 448 images
8: 1106.458618, 1106.886963 avg, 0.000000 rate, 7.129297 seconds, 512 images
9: 1106.782959, 1106.876587 avg, 0.000000 rate, 7.207997 seconds, 576 images
10: 1106.562744, 1106.845215 avg, 0.000000 rate, 7.088057 seconds, 640 images
11: 710.964233, 1067.257080 avg, 0.000000 rate, 4.557294 seconds, 704 images
12: 713.300537, 1031.861450 avg, 0.000000 rate, 4.604759 seconds, 768 images
13: 711.277100, 999.803040 avg, 0.000000 rate, 4.627843 seconds, 832 images
14: 712.356140, 971.058350 avg, 0.000000 rate, 4.628407 seconds, 896 images
15: 712.090332, 945.161560 avg, 0.000000 rate, 4.880618 seconds, 960 images
16: 710.416016, 921.687012 avg, 0.000000 rate, 4.622863 seconds, 1024 images
17: 709.944031, 900.512695 avg, 0.000000 rate, 4.574048 seconds, 1088 images
18: 710.969360, 881.558350 avg, 0.000000 rate, 4.659537 seconds, 1152 images
19: 711.809082, 864.583435 avg, 0.000000 rate, 4.848775 seconds, 1216 images
20: 710.067749, 849.131836 avg, 0.000000 rate, 4.652178 seconds, 1280 images
21: 1588.977539, 923.116394 avg, 0.000000 rate, 9.643923 seconds, 1344 images
22: 1587.396729, 989.544434 avg, 0.000000 rate, 8.977368 seconds, 1408 images
23: 1588.438477, 1049.433838 avg, 0.000000 rate, 8.707410 seconds, 1472 images
24: 1586.112427, 1103.101685 avg, 0.000000 rate, 9.055255 seconds, 1536 images
25: 1587.265259, 1151.518066 avg, 0.000000 rate, 9.004831 seconds, 1600 images
26: 1586.441406, 1195.010376 avg, 0.000000 rate, 8.814922 seconds, 1664 images
27: 1586.501221, 1234.159424 avg, 0.000000 rate, 9.062701 seconds, 1728 images
28: 1582.851685, 1269.028687 avg, 0.000000 rate, 8.962056 seconds, 1792 images
29: 1584.826050, 1300.608398 avg, 0.000000 rate, 8.821476 seconds, 1856 images
30: 1583.211304, 1328.868652 avg, 0.000000 rate, 9.212680 seconds, 1920 images
